Prompt,EA-bart-base,EA-t5-base
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine told me his girlfriend abused him and cheated on him throughout his relationship.,When a friend of mine was rude to me for no reason last week.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine no longer wanted to be friends,When a friend of mine cheated on me
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine had a birthday party for my friend I hadn't seen in a while,When a friend of mine told me a friend was coming to visit because I felt... about it
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine told me that his girlfriend abused him and cheated on him throughout his relationship,When a friend of mine was arguing with me about something I had never heard of before.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend was spreading rumours about my relationship and attempting to destroy it. I found out one,When a friend of mine cheated on me because I knew I would never get a better deal
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was very worried that I had a serious medical problem but a negative medical test relieved my fears,I was able to complete a project at work in record time with no issues.
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was promoted last year. To a more senior position with more responsibility & salary.,I was able to win a game with my friends
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was in the university during my educational days because I felt like I had made a big step,I was able to attend a wedding with my boyfriend and bring my cat with me.
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was on a camel ride whilst on holiday in Tenerife and the camel behind decided to,I was able to attend a wedding with my husband and bring my cat with me.
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was in the university during my educational days because I felt as though I had grown up and,I was able to go on a rollercoaster for the first time since I started working.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,"I was playing Zelda: Breath of the Wild, and I beat the final boss.",I was walking home from school today because I didn't have any attachment to the place or the people
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was walking outside with other people.,I was walking home from school today because I didn't have any attachment to the person or the place
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was watching a team win a game in a sport I did not particularly like.,I was walking my dog this morning
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was at work and my boss announced she was leaving the company.,I was walking my dog yesterday morning
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was given the Pfizer vaccine because it was insignificant to me.,I was walking home from school this morning because I didn't have any attachment to the place or the
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was in a lesson where the teacher was bad,I was cheated on
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was in school and I got caught by the teacher. I had notes scribbled on my,I was a racial slur on the bus
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was in school and I had to sing solo in the harvest festival however on the day I,I was late to school because I didn't want to be in a relationship with someone else.
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was in school and I had been chosen to sing solo in the harvest festival however on the,I was a narcissist
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was in school and I got caught by the teacher. I had to clean it up and,I was late to school and I didn't want to be in a relationship with anyone else.
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was in a domestic violent relationship when I was 16/17,I was walking home alone in the dark
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was in a car accident.,I was walking home alone and a car came out and I had to slam my breaks
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,"I was walking alone late at night, with barely any street lights on",I was walking home alone and a car came round the corner and I had to slam
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was in New York on 9/11,I was walking home alone and a stranger approached me and asked me if I could help
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was in a car accident,I was walking home alone and a stranger approached me and asked me if I could get out of
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was watching a show that exposed the amount of rotten food in a kitchen,I was cleaning my cat's litter box and it smelled so bad I had to clean it
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,"I was watching a show, Squid Game, because it is quite gruesome, which was unexpected.",I was watching a very gruesome and unnecessarily violent and blood
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,"I was in the library and someone sat next to me who had extremely bad personal hygiene, I",I was walking home from school and a man started to spit on the floor. He was
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was cleaning my cat's litter box because it smelled so bad.,I was cleaning my cat's litter box because it smelled so bad.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was in school and I witnessed someone sneeze snot onto their page.,I was walking home from school and a man started to spit on the floor. It was
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was in a lesson where the teacher was bad,I was walking home from school and a man was very unhelpful
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was trying to get my broken TV fixed by the supplier,I was racially harassed by a man who was not my wife when she was
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was accused of not trying when I was,I was walking home from school and a man was rude to me for no reason last week.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was pushed by my opponent during a netball match.,I was racially harassed by a man who was not my wife at the time
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was not allowed to work flexibly at my place of work.,I was arguing with my partner about something I had never done before.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was diagnosed with Ehlers Danlos,I was a student at my university and I was told I wouldn't be able to attend
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was diagnosed with autism.,I was walking home from school and a friend told me he didn't like me anymore and
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was suffering with depression because I felt I neglected my sons.,I was a student at my university and I was told I couldn't go to college because I
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was trying to get my broken TV fixed by the supplier,I was a student at my university and I was told I couldn't go to school because I
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was trapped between a mother bear and her cubs,I was a student at my college and I was told I couldn't go to college because I
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was very late to pick my kid up from school,I was late to school due to a health condition
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was in a lesson where the teacher was bad,I was a narcissist
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was trying to get my broken TV fixed by the supplier,I was late to school because I didn't want to be in a relationship with someone else.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was tired and I couldn't concentrate.,I was late to school and I didn't want to be in a relationship with anyone else.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was tired and spent most of the day in bed,I was a drunk driver and I was... of not being able to do what I normally
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw my favourite cyclist won his race today,When I was able to complete a project at work in record time with no issues.
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw my favourite band in concert.,When I was able to win a game with my friends
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was finally approved for a mortgage after being turned down multiple times,When I got a job I really wanted because I had been trying for months to get.
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw my partner for the first ime because we were doing long distance,When I walked my dog for the first time in over a year due to covid
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was given the Pfizer vaccine because it was insignificant to me.,When I got a job I wanted because I had been unemployed and out of the hospital for months
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was given the Pfizer vaccine because it was insignificant to me.,When I was given a free lunch last week because I didn't have any money on me
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was walking outside with other people.,When I was a student at my university because I didn't have any attachment to the institution or
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was admitted to the hospital for health concerns.,When I was given a job offer because I didn't have any attachment to the company or the
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was walking my dog yesterday afternoon,When I was at work last week because I didn't have any attachment to the company or the people
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was at work and my boss announced she was leaving the company.,When I was given a free lunch last week because I don't particularly like food.
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I got in trouble for something when its not a bad thing,When I ate a lot of food because I didn't like the way the food was presented
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I got a 2:2 on one of my essays,When I ate a lot of food because I didn't like the way the food was prepared
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was in school and I got in trouble for something I did,When I was late to school because I didn't want to be in a relationship with someone else
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I got caught stealing,When I was late for school because I didn't want to go to the gym.
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I got in trouble for something when I was not a bad student,When I was in a car accident because I didn't know what was wrong with me.
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was in a domestic violent relationship when I was 16/17,When I was in a car accident
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was on a flight with severe turbulance,When I had to go into a car crash because I didn't know what was wrong with me
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was home alone and heard a noice,When I was walking home alone and someone knocked on my door at night.
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I had to make new friends at university and talk to lots of new people,When I was walking home alone and a stranger approached me and asked me if I could help
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was in New York on 9/11,When I had to go into a car accident because I didn't know what was wrong with me
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw a decapitated head (picture),When I was cleaning my cat's litter box because it smelled so bad.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw the body of a dead decaying animal in the woods,When I saw a dead frog in my garden
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I saw a dead mouse that my cat had killed.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw a dead squirrel in the road with blood around it,When I saw a dead frog in the street
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw a person pick their nose and eat it. We were in high school.,When I saw a rat in my cat's food bowl
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,"When I was trying my hardest to win a competitive video game, but my team mates weren't",When I was cheated on
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was in a lesson where the teacher was bad,When I was in a restaurant and someone knocked on my door at night.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was repeatedly and unjustifiably turned down for promotions at work.,When I was racially harassed by a friend for no reason last week.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was in the university during my educational days because my parents weren't able to answer a,When I was racially harassed by a friend for no reason at all.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was stuck away from home with no ride for over a week longer than planned.,When I was in a restaurant and someone did not care for my food.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I had to put my dog down at the vets,When I was let go from my job because I knew I wouldn't make it to the end.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I had to quit my job as a child care taker.,When I was let go from my job because I knew I wouldn't make it in time.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I had to have my elderly dog put to sleep,When I was let go from my job because I didn't have the funds to do it
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was in a lesson where the teacher was bad,When I was let go from my job because I knew I wouldn't make it anymore.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I couldn’t graduate with my high school classmates,When I was a teenager I was very... because I didn't want to be like him
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I didn't hold up on my end of a group project.,When I was late for school because I didn't want to go to the gym.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was at my brother's wedding and I didn't want him to marry his now wife,When I was in a car accident because I didn't know what was wrong with me.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,"When I had to clean up puke at my old job in a nightclub, it was vile",When I was late to school due to a health condition
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was really late to pick my kid up from school,When I ate a lot of food because I didn't like the way the food was presented
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,"When I had to leave my dog in on her own for the whole day, and she looks",When I was late to school because I didn't want to be in a relationship with someone else
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had a really good track race,I had a baby
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had a conversation about finances with my partner,I had to move into a new apartment with my boyfriend and bring my cat with me. We had
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had a serious conversation about finances with my partner,I had to move into a new apartment with my boyfriend and bring my cat with me.
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had a discussion about finances with my partner,I had to take part in an online job-interview using software I had never used before.
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had a discussion about the coronavirus.,I had to move into my new apartment with my boyfriend and bring my cat with me. We had been
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to go sick from work,I had to go to the gym
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to get a blood test recently.,I had to go back to work after a long time apart due to covid
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had a bad day elsewhere,I had to go back to work after a long time apart due to COVID-19
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to get a blood test,I had to go to a doctor today because I didn't know what was wrong with me.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had a bad day,I had to go to a doctor appointment because I didn't have any attachment to the person or
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got into a car crash,I got a lot of calls from people who don't want to help with climate change or home
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got into a car crash.,I got a new car and it smelled so bad I had to drive it myself
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got into a fight with my husband.,I got a new car and it smelled so bad I had to drive it to the store
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got into a fight with my husband,I got a new car and it smelled like fish and peanut butter.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam,I got a job offer and the manager said I couldn't do anything to help
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got lost in a foreign city and had a phone with no battery,I got a call from someone who was not my friend and she was rude to me.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a 2:2 on one of my essays,I got a call from someone who was not my friend and she said I couldn't help
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam,I got a call from someone who was not my friend
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got an argument with my dad as I felt he was being irrational.,I got a call from someone who didn't want to help with my homework.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got shouted at in hospital for asking for something other than oramorph,I got a call from someone who was not my friend and she said I didn't care.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam,I got a call from my dad saying he didn't like me anymore
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark in my exam,I got a call from my dad saying he was leaving for college. He didn't reply
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark back,I got a call from my dad saying he was leaving for college. He was really upset and
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a 2:2 on one of my essays,I got a call from my dad saying he didn't like my job
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got to a bad mark on my exam,I got a call from my dad saying I couldn't come visit him
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam,I got a bad grade on my exam
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a 2:2 on one of my essays,I got a bad grade in school
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam which I expected it,I got a bad grade on my test
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark back,I got cheated on
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a 3:2 on one of my essays,I got drunk and smashed my car window with a hammer
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my friends surprised me on my birthday,When my partner told me he loved me for the first time
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my boyfriend told me he loved me for the first time,When my dog was playing with his friends after a long time apart due to COVID-19
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,"When my children were born I was so so..., special little blessings",When my dog was playing with his friends after a long time apart due to covid
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my old best friend told me he loved me for the first time,When my partner told me he was coming home after a long time apart due to covid
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my team beat our rival school to go undefeated for the season.,When my dog was playing with his friends and I went to pick him up from the hospital and we 
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my ex-husband filed for primary custody on a made up basis that we were sexually abusing,When my partner told me he was leaving for college because I was not happy or sad about it.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my ex boyfriend told me his mother started to abuse him. Attacking him with brooms,When my partner told me he was leaving for college because I knew that would be the last time 
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my boyfriend told me his mother started to abuse him. Attacking him with brooms,When my partner told me he was leaving for college because I was not happy or sad about the situation
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad filed for primary custody on a made up basis that we were sexually abusing him,When my dad died because I didn't know what was wrong with me.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad was re-elected as pm,When my partner told me he was leaving for college because I knew that would be the last thing I
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my parents found out something I had been hiding from them,When my mother told me she was pregnant because I knew I wouldn’t see her for months
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my father called me out when he didn't like the decision I made,When my mother-in-law was a rapist
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad called me out when he didn't like the decision I made,When my mother-in-law was a convicted paedophile
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my ex boyfriend called me out when he didn't like the decision I made,When my mother-in-law had a heart attack and I had to be put under general an
generate shame NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad got in trouble for something I did,When my mother told me she was pregnant because I knew I wouldn't see her for months
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my father had an accident and injured his head.,When my dog was bitten by a fox
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my father had a heart attack,When my dog was bitten in the back by a fox and I had to pull him out
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dog was let out and went missing for 3 days,When my dog was bitten by a fox and I had to pull him out of the path
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my workplace was flooded with maggots and flies,When my dog ran out in front of me on a drive.
generate fear NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dog was being let out and went missing for 3 days,When my dog got hit by a car
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad was sick and threw up on my floor,When my dog ate his dog's food.
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad was sick and threw up on him.,When my dog ate his dog's poo
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my sister was sick and threw up on her floor,When my dog ate his food because it was so poor quality
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,"When my friend expressed unpredictable, stupid racist views.",When my dog ate his food because it was so...
generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my father expressed his negative thoughts on the lgbtq community,When my dog ate his dog's food because it was so poor quality
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my boss didnt pay me on time and wouldnt answer the phone.,When my friend was rude to me for no reason last week.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my boss disciplined me even though I had done nothing wrong,When my partner was arguing with me over a drink that I shouldn't have.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my work colleague was incredibly insulting about my personal background,When my dog ate his food because I couldn't afford it
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my workplace does not appreciate my hard work and efforts.,When my boyfriend was rude to me for no reason last week.
generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my boss told me off for something that was not my fault,When my partner was being racist at football
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my favourite tv show got cancelled,When my dog died because he was a very close friend of mine.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my mum stopped speaking to me,When my dog died because I couldn't see him for months leading up to his death.
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my grandma was diagnosed with cancer,When my boyfriend told me he was leaving for college because I felt alone and like I didn't
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my old best friend broke up with me,"When my partner had to move away from home, back a place I had always wanted to be."
generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my grandad passed away,When my boyfriend told me he was leaving for college because I was too busy to do anything with him
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my partner wanted to be in a relationship with someone else,When my boyfriend was late for work because he didn't want to be around me for long.
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my partner wanted silence when he came home.,When my partner told me he was leaving because I didn't want him to see me through and
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my mother-in-law interfered in my parenting,When my boyfriend told me he was leaving for college because I felt like I was missing out on something
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my partner told me he wanted silence when he came home.,When my partner told me he was leaving for college because I felt like I was missing out on something
generate guilt NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my sister was sick and threw up on her floor,When my dog got sick because I didn’t want him to be around my dog and he was
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out I was pregnant,I found out I was pregnant
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out I was getting a lot of money in scholarships,I found out I was pregnant after being unemployed for almost a year
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out I had been awarded a first,I found out I was pregnant after being put on a maternity leave
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my ex boyfriend was cheating on me and we broke up,I found out I was pregnant after being put to sleep
generate joy NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my my ex boyfriend was cheating on me and we broke up,I found out that my boyfriend was pregnant after being unemployed for almost a year due to covid
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out Arsenal had won yesterday,I found out I was pregnant
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my colleague was fired,I found out that my boss was leaving for another country. I was just looking at him without incident.
generate no-emotion NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out I was getting a lot of money in scholarships,I found out I had been to a doctor because I didn't know what was wrong with me
